county,average_household_size,population_density_no_per_sq_km,mpo_total_perc,uo_i_total_perc,stand_alone_radio,functional_tv,car,motor_cycle,bicycle,refrigerator,desk_top_computer_laptop_tablet,total_piped,total_flush,total_gas,mains_electricity
Nyeri,3,228,64.1,29.9,74.3,59.5,7.7,8.8,11.7,7.2,8.6,64.30000000000001,14.1,23.7,71.8
Kirinyaga,3,413,61.3,24.1,66.6,54,6,14.6,21.1,5.5,5.9,47.2,9.3,24.2,65.3
Murang'a,3.3,419,57.4,20.7,70.7,47.9,5,8.5,12.1,4.7,4.9,37.4,6.999999999999999,17.4,60.5
Kiambu,3,952,66,42.7,61.4,70,12.4,6.9,16.3,19.6,19.6,53,35,58.8,91.7
Turkana,5.6,14,16.6,6.9,12.1,7.4,1.3,4.8,4.2,1.9,2.1,9,2.1,2.3,8.6
West Pokot,5.3,68,21.1,8.1,33.8,9.7,1.6,5.8,3.2,0.6,1.4,8.5,1.5,2.5999999999999996,11.8
Samburu,4.7,15,27.2,9.7,29.4,13.5,2.6,6.5,5.1,1.8,3.2,6.9,1.7999999999999998,4.9,14.8
Trans Nzoia,4.4,397,40.4,16.9,57.3,34.3,4.9,12.7,20.6,3.7,4.9,12.7,6,9.1,37.9
Uasin Gishu,3.8,343,51.4,28,60.1,47.3,8.5,10.4,18.2,8.3,10.1,29.7,20.9,25,63.8
Elgeyo Marakwet,4.5,150,37.6,14.2,52.7,17.5,3.1,6.9,3.7,1.1,2,18.6,1.4,3.3000000000000003,24.3
Nandi,4.4,310,42.5,17.1,60.3,27.1,4.4,11.1,10.7,2.4,3.6,12.2,2.3000000000000003,6.1,30.7
Baringo,4.7,61,35,15.3,51.8,23,4.1,8.2,7.1,1.9,3.2,12.7,2.6,4.3999999999999995,28.3
Laikipia,3.4,54,51.5,22.6,63.3,44.4,6.4,13.3,21.1,5.2,6.9,32.2,14.3,21.5,42.2
Nakuru,3.5,290,52.7,26.8,61.1,52.5,7.1,10.9,19.1,8.9,9.6,27.5,18.1,30.4,64.4
Narok,4.8,65,34.3,12,59,19.3,3.5,10.7,3.7,1.9,2.7,4.6,2.8000000000000003,8.7,19.7
Kajiado,3.5,51,54.6,33.1,55,51.7,10.9,9.7,11.9,15.8,14.6,18,24.9,47.900000000000006,67.4
Kericho,4.4,370,43.4,19,60.3,29.3,4.9,8.4,4.5,3,4.7,19.2,4.499999999999999,9.8,44.9
Bomet,4.7,346,40.9,16.6,62.1,18.5,3.7,12,5.5,1.4,3.3,10.7,1.7000000000000002,6.1000000000000005,22.1
Kakamega,4.3,618,40.9,14.5,62,29.2,3.3,11.5,24.4,3.3,4.3,6.800000000000001,3.3000000000000003,7.7,25.1
Vihiga,4.1,1047,43.1,14.1,61.6,31.2,3,7.8,11.5,3.6,4.3,4.3,1.7000000000000002,7.4,38.4
Bungoma,4.6,552,36.8,13.8,62.1,25.4,3.1,11.9,26.2,2.8,4.1,8.5,4.1,7.6,21.6
Busia,4.5,527,38.4,13.5,54.5,27.2,2.9,11.8,34.3,3.7,3.7,5.1,3.1000000000000005,6.4,26.1
Siaya,3.9,393,44.1,14.9,65.5,28.3,2.9,11.8,32.7,4,4.2,5.1,1.8,6.3,19.7
Kisumu,3.8,554,49.4,23.9,65,45.1,5.3,10.3,22,11.6,9.8,19.200000000000003,11.199999999999998,19.3,52.6
Homa Bay,4.3,359,41.1,15.2,63,26.3,2.6,10.7,12.8,3.3,4.1,3,2.4,6.6000000000000005,18.4
Migori,4.6,427,37.5,14.3,59.8,28.1,2.9,13.2,11.5,3.6,4.2,2.7,2.5000000000000004,7.3,23.3
Kisii,4.1,958,43.8,16,58.5,30.7,3.4,7.8,3.5,3.1,5,2.1,4.3,14,39.3
Nyamira,4,675,45.4,15.9,62.7,30.3,3.4,8.3,3.9,2,3.7,1.9,2.3000000000000003,8.9,42.9
Nairobi City,2.9,6247,69.1,52.4,53.4,68.7,12.9,4.3,12.5,23.5,22.7,51.099999999999994,73.3,67.8,96.5
