"","County","SubCounty","AdminArea","Vision_Total","Vision_Male","Vision_Female","Hearing_Total","Hearing_Male","Hearing_Female","Mobility_Total","Mobility_Male","Mobility_Female","Cognition_Total","Cognition_Male","Cognition_Female","SelfCare_Total","SelfCare_Male","SelfCare_Female","Communication_Total","Communication_Male","Communication_Female"
"200","TURKANA","TURKANA SOUTH","SubCounty",487,220,267,312,154,158,559,291,268,328,150,178,399,212,187,204,111,93
"201","TURKANA","TURKANA WEST","SubCounty",898,436,462,446,230,216,1019,548,471,816,467,349,802,443,359,507,285,222
"202","WEST POKOT","WEST POKOT","County",1909,862,1047,1527,733,794,2271,1051,1220,1269,593,676,1249,587,662,1030,524,506
"203","WEST POKOT","KIPKOMO","SubCounty",311,150,161,245,116,129,460,216,244,215,102,113,155,81,74,122,69,53
"204","WEST POKOT","POKOT CENTRAL","SubCounty",249,108,141,240,108,132,303,142,161,125,51,74,119,54,65,109,58,51
"205","WEST POKOT","POKOT NORTH","SubCounty",371,157,214,239,122,117,377,171,206,186,92,94,209,98,111,131,68,63
"206","WEST POKOT","POKOT SOUTH","SubCounty",106,46,60,107,53,54,182,77,105,112,55,57,119,56,63,83,38,45
"207","WEST POKOT","WEST POKOT","SubCounty",872,401,471,696,334,362,949,445,504,631,293,338,647,298,349,585,291,294
"208","SAMBURU","SAMBURU","County",1302,511,791,908,416,492,1096,521,575,612,301,311,680,318,362,448,234,214
"209","SAMBURU","SAMBURU CENTRAL","SubCounty",611,248,363,469,236,233,543,274,269,312,165,147,335,163,172,224,131,93
"210","SAMBURU","SAMBURU EAST","SubCounty",507,184,323,329,128,201,374,162,212,188,79,109,223,101,122,139,61,78
"211","SAMBURU","SAMBURU NORTH","SubCounty",184,79,105,110,52,58,179,85,94,112,57,55,122,54,68,85,42,43
"212","TRANS NZOIA","TRANS NZOIA","County",6609,2916,3693,2727,1273,1454,6166,2574,3591,3639,1596,2043,2272,1169,1103,2522,1399,1123
"213","TRANS NZOIA","TRANS NZOIA WEST","SubCounty",1305,594,711,539,260,279,1073,470,603,568,234,334,393,208,185,395,225,170
"214","TRANS NZOIA","TRANS NZOIA EAST","SubCounty",1429,613,816,603,282,321,1425,574,851,830,372,458,509,265,244,487,277,210
"215","TRANS NZOIA","KWANZA","SubCounty",1151,502,649,538,260,278,1160,493,666,716,333,383,454,245,209,570,315,255
"216","TRANS NZOIA","ENDEBESS","SubCounty",916,421,495,413,190,223,837,353,484,417,185,232,287,145,142,383,232,151
"217","TRANS NZOIA","KIMININI","SubCounty",1808,786,1022,634,281,353,1671,684,987,1108,472,636,629,306,323,687,350,337
"218","UASIN GISHU","UASIN GISHU","County",5644,2500,3143,2330,1134,1196,5666,2364,3302,2923,1315,1608,2312,1076,1236,1994,1085,909
"219","UASIN GISHU","AINABKOI","SubCounty",502,231,271,234,117,117,609,250,359,303,137,166,291,129,162,205,103,102
"220","UASIN GISHU","KAPSERET","SubCounty",1194,532,662,409,213,196,978,419,559,497,231,266,357,167,190,349,201,148
"221","UASIN GISHU","KESSES","SubCounty",511,243,268,258,122,136,671,285,386,360,167,193,300,134,166,231,129,102
"222","UASIN GISHU","MOIBEN","SubCounty",668,295,373,322,154,168,745,335,410,376,181,195,391,187,204,298,155,143
"223","UASIN GISHU","SOY","SubCounty",1307,569,737,551,254,297,1292,521,771,753,316,437,537,249,288,456,251,205
"224","UASIN GISHU","TURBO","SubCounty",1462,630,832,556,274,282,1371,554,817,634,283,351,436,210,226,455,246,209
"225","ELGEYO/MARAKWET","ELGEYO/MARAKWET","County",1459,663,796,934,469,465,2050,974,1076,973,445,528,980,486,494,655,372,283
"226","ELGEYO/MARAKWET","KEIYO NORTH","SubCounty",417,190,227,230,113,117,486,236,250,235,111,124,237,118,119,153,86,67
"227","ELGEYO/MARAKWET","KEIYO SOUTH","SubCounty",480,214,266,301,146,155,705,311,394,345,147,198,298,133,165,185,94,91
"228","ELGEYO/MARAKWET","MARAKWET EAST","SubCounty",233,102,131,167,92,75,326,166,160,149,67,82,163,81,82,116,69,47
"229","ELGEYO/MARAKWET","MARAKWET WEST","SubCounty",329,157,172,236,118,118,533,261,272,244,120,124,282,154,128,201,123,78
"230","NANDI","NANDI","County",4655,2052,2603,2362,1158,1204,6221,2553,3667,2994,1383,1610,2197,1090,1107,1947,1095,852
"231","NANDI","CHESUMEI","SubCounty",591,242,349,294,153,141,809,354,455,374,189,185,318,145,173,300,181,119
"232","NANDI","NANDI CENTRAL","SubCounty",841,375,466,357,179,178,1108,460,648,604,262,342,376,182,194,373,216,157
"233","NANDI","NANDI EAST","SubCounty",538,260,278,269,142,127,615,293,321,285,139,145,281,142,139,209,124,85
"234","NANDI","NANDI NORTH","SubCounty",1011,415,596,514,240,274,1284,482,802,566,268,298,494,249,245,383,205,178
"235","NANDI","NANDI SOUTH","SubCounty",961,441,520,520,254,266,1392,551,841,662,293,369,414,200,214,410,214,196
"236","NANDI","TINDERET","SubCounty",713,319,394,408,190,218,1013,413,600,503,232,271,314,172,142,272,155,117
"237","BARINGO","BARINGO","County",2757,1214,1543,1690,794,896,3805,1732,2073,1854,851,1003,1799,863,936,1217,639,577
"238","BARINGO","BARINGO CENTRAL","SubCounty",413,179,234,296,147,149,711,306,405,333,156,177,321,152,169,212,120,92
"239","BARINGO","BARINGO NORTH","SubCounty",511,219,292,311,133,178,769,355,414,349,153,196,358,170,188,224,105,119
"240","BARINGO","EAST POKOT","SubCounty",187,75,112,114,47,67,162,73,89,109,46,63,108,54,54,75,36,39
"241","BARINGO","KOIBATEK","SubCounty",505,233,272,223,116,107,779,357,422,352,163,189,316,151,165,241,133,108
"242","BARINGO","MARIGAT","SubCounty",458,201,257,281,128,153,512,238,274,185,92,93,182,98,84,125,71,54
"243","BARINGO","MOGOTIO","SubCounty",395,175,220,247,119,128,552,239,313,249,104,145,258,113,145,182,89,92
"244","BARINGO","TIATY EAST","SubCounty",288,132,156,218,104,114,320,164,156,277,137,140,256,125,131,158,85,73
"245","LAIKIPIA","LAIKIPIA","County",2762,1139,1623,1139,533,606,3663,1394,2269,2076,960,1116,1434,709,725,1112,635,477
"246","LAIKIPIA","LAIKIPIA CENTRAL","SubCounty",837,325,512,271,122,149,1071,375,696,611,280,331,367,190,177,265,166,99
"247","LAIKIPIA","LAIKIPIA EAST","SubCounty",428,172,256,165,72,93,515,203,312,297,133,164,218,106,112,204,107,97
