"","County","SubCounty","AdminArea","Total","Male","Female","SearchedOnline_Total","SearchedOnline_Total_Perc","SearchedOnline_Male","SearchedOnline_Male_Perc","SearchedOnline_Female","SearchedOnline_Female_Perc"
"355","HOMA BAY","SUBA NORTH","SubCounty",70452,33403,37048,2191,3.1,1309,3.9,882,2.4
"356","HOMA BAY","SUBA SOUTH","SubCounty",66221,31045,35174,1102,1.7,746,2.4,356,1
"357","MIGORI","MIGORI","County",598194,278075,320103,14080,2.4,8630,3.1,5450,1.7
"358","MIGORI","AWENDO","SubCounty",64026,29790,34236,1671,2.6,1020,3.4,651,1.9
"359","MIGORI","KURIA EAST","SubCounty",48434,22830,25601,885,1.8,559,2.4,326,1.3
"360","MIGORI","KURIA WEST","SubCounty",109560,52028,57527,2327,2.1,1431,2.8,896,1.6
"361","MIGORI","NYATIKE","SubCounty",94575,43220,51353,1599,1.7,1042,2.4,557,1.1
"362","MIGORI","RONGO","SubCounty",69598,31897,37702,2031,2.9,1187,3.7,844,2.2
"363","MIGORI","SUNA EAST","SubCounty",67526,31513,36013,2376,3.5,1384,4.4,992,2.8
"364","MIGORI","SUNA WEST","SubCounty",69353,31840,37512,1959,2.8,1237,3.9,722,1.9
"365","MIGORI","URIRI","SubCounty",75122,34959,40161,1232,1.6,770,2.2,462,1.2
"366","KISII","KISII","County",750776,346681,404073,16800,2.2,10155,2.9,6644,1.6
"367","KISII","ETAGO","SubCounty",45834,21168,24664,520,1.1,352,1.7,168,0.7
"368","KISII","GUCHA","SubCounty",48428,21927,26501,1056,2.2,653,3,403,1.5
"369","KISII","GUCHA SOUTH","SubCounty",48464,22307,26156,781,1.6,488,2.2,293,1.1
"370","KISII","KENYENYA","SubCounty",76374,35242,41132,949,1.2,596,1.7,353,0.9
"371","KISII","KISII CENTRAL","SubCounty",103631,49183,54446,4179,4,2459,5,1720,3.2
"372","KISII","KISII SOUTH","SubCounty",79971,37091,42877,1765,2.2,1052,2.8,713,1.7
"373","KISII","KITUTU CENTRAL","SubCounty",95524,45331,50188,3911,4.1,2218,4.9,1692,3.4
"374","KISII","MARANI","SubCounty",63355,28329,35027,892,1.4,586,2.1,306,0.9
"375","KISII","MASABA SOUTH","SubCounty",73171,33160,40008,1169,1.6,758,2.3,411,1
"376","KISII","NYAMACHE","SubCounty",76413,34735,41676,1063,1.4,675,1.9,388,0.9
"377","KISII","SAMETA","SubCounty",39611,18210,21400,515,1.3,318,1.7,197,0.9
"378","NYAMIRA","NYAMIRA","County",366653,170585,196063,7907,2.2,4896,2.9,3011,1.5
"379","NYAMIRA","BORABU","SubCounty",45574,22562,23012,1255,2.8,782,3.5,473,2.1
"380","NYAMIRA","MANGA","SubCounty",58099,26788,31312,1184,2,739,2.8,445,1.4
"381","NYAMIRA","MASABA NORTH","SubCounty",68048,30969,37078,1440,2.1,904,2.9,536,1.4
"382","NYAMIRA","NYAMIRA NORTH","SubCounty",99092,45844,53245,1757,1.8,1078,2.4,679,1.3
"383","NYAMIRA","NYAMIRA SOUTH","SubCounty",95840,44423,51417,2271,2.4,1393,3.1,878,1.7
"384","NAIROBI CITY","NAIROBI CITY","County",3008985,1491597,1517231,421094,14,224570,15.1,196493,13
"385","NAIROBI CITY","DAGORETTI","SubCounty",297200,149722,147459,32684,11,18377,12.3,14303,9.7
"386","NAIROBI CITY","EMBAKASI","SubCounty",679481,338620,340831,99490,14.6,53612,15.8,45873,13.5
"387","NAIROBI CITY","KAMUKUNJI","SubCounty",178045,89862,88178,13552,7.6,7823,8.7,5728,6.5
"388","NAIROBI CITY","KASARANI","SubCounty",531787,256058,275707,79594,15,42602,16.6,36988,13.4
"389","NAIROBI CITY","KIBRA","SubCounty",124817,63897,60915,14218,11.4,7417,11.6,6799,11.2
