"","County","SubCounty","AdminArea","Farming","ExoticCattle_Dairy","ExoticCattle_Beef","IndigenousCattle","Sheep","Goats","Camels","Donkeys","Pigs","IndigenousChicken","ExoticChicken_Layers","ExoticChicken_Broilers","Beehives","Rabbits","FishPonds","FishCages"
"78","MERU","IGEMBE NORTH","SubCounty",22743,3492,1427,26790,10397,29431,717,690,272,36013,3718,1841,1204,547,113,15
"79","MERU","IGEMBE SOUTH","SubCounty",21483,4990,1148,8215,3274,23352,12,193,2546,46715,9122,11242,2692,1542,337,21
"80","MERU","IMENTI NORTH","SubCounty",27839,12865,2278,11875,8592,27710,77,143,7270,150678,45452,17178,3815,6765,1456,19
"81","MERU","IMENTI SOUTH","SubCounty",46386,39517,5508,10429,9688,38213,92,67,3212,205385,27122,13101,14153,9394,2659,39
"82","MERU","MERU CENTRAL","SubCounty",31894,21656,3521,11138,8825,30713,14,225,3755,145741,17996,7059,10031,8626,257,12
"83","MERU","TIGANIA CENTRAL","SubCounty",18982,3645,803,13374,3844,22811,31,59,3669,57541,4826,3410,5772,2313,176,4
"84","MERU","TIGANIA EAST","SubCounty",12186,2397,792,12428,18188,33907,3047,975,217,33384,2922,1286,1867,1128,75,13
"85","MERU","TIGANIA WEST","SubCounty",28224,3568,1110,29201,12178,46496,133,1522,4938,104432,7486,2715,4938,4286,273,9
"86","MERU","MERU NATIONAL PARK","SubCounty",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","MERU","MT. KENYA FOREST","SubCounty",179,81,88,212,211,114,NA,8,9,516,49,39,16,70,1,NA
"88","THARAKA-NITHI","THARAKA-NITHI","County",85767,32634,5137,52935,53816,214217,124,5867,8753,418193,31876,10785,56748,13321,1588,248
"89","THARAKA-NITHI","IGAMBANG'OMBE","SubCounty",12254,1848,525,9071,6267,31322,19,121,663,54848,2657,1444,8653,1473,94,2
"90","THARAKA-NITHI","MAARA","SubCounty",27526,20129,3031,6905,5322,34860,36,6,3365,133050,14099,4795,13867,5236,439,13
"91","THARAKA-NITHI","MERU SOUTH","SubCounty",19251,9901,1321,5876,4441,25181,2,15,3112,110308,12190,3712,8993,6072,857,16
"92","THARAKA-NITHI","THARAKA NORTH","SubCounty",11402,156,35,14673,24792,59533,34,4278,732,46121,806,294,12755,69,38,206
"93","THARAKA-NITHI","THARAKA SOUTH","SubCounty",15330,600,225,16410,12994,63321,33,1447,881,73842,2068,540,12480,471,160,11
"94","THARAKA-NITHI","MT. KENYA FOREST","SubCounty",4,NA,NA,NA,NA,NA,NA,NA,NA,24,56,NA,NA,NA,NA,NA
