"","County","SubCounty","AdminArea","Farming","Maize","Sorghum","Rice","Potatoes","Beans","Cassava","SweetPotatoes","Wheat","GreenGrams","Bananas","Cabbages","Tomatoes","Onions","GroundNuts","Millet","Watermelons","Kales","Sugarcane","Cotton"
"1","xxx","KENYA","xxx",6354211,5104967,904945,50484,1170170,3600840,1050352,1134102,67720,571426,2139421,490588,410224,707182,480812,540353,84077,1916898,654468,22920
"2","MOMBASA","MOMBASA","County",12497,5681,NA,NA,NA,NA,2849,NA,NA,NA,2232,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","MOMBASA","CHANGAMWE","SubCounty",618,108,NA,NA,NA,NA,39,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","MOMBASA","JOMVU","SubCounty",2418,895,NA,NA,NA,NA,360,NA,NA,NA,332,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","MOMBASA","KISAUNI","SubCounty",6257,3456,NA,NA,NA,NA,1702,NA,NA,NA,1137,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MOMBASA","LIKONI","SubCounty",1863,863,NA,NA,NA,NA,578,NA,NA,NA,485,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MOMBASA","MVITA","SubCounty",309,81,NA,NA,NA,NA,39,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MOMBASA","NYALI","SubCounty",1032,278,NA,NA,NA,NA,131,NA,NA,NA,159,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","KWALE","KWALE","County",108074,93143,2784,8585,1038,8619,46004,10388,NA,20536,28831,NA,10008,1124,5636,1290,3794,10775,5089,NA
"10","KWALE","KINANGO","SubCounty",13855,12556,552,60,87,1567,4580,1841,NA,3132,1841,NA,1219,163,667,132,429,1746,322,NA
"11","KWALE","LUNGALUNGA","SubCounty",29299,25717,454,5499,340,1899,11279,2093,NA,5508,8424,NA,3013,332,717,327,881,3375,1143,NA
"12","KWALE","MATUGA","SubCounty",24689,21369,342,1143,233,2233,15401,2846,NA,2180,10026,NA,2787,214,680,168,577,3250,1891,NA
"13","KWALE","MSAMBWENI","SubCounty",14959,10731,202,1811,226,1073,8583,1623,NA,2064,5864,NA,1951,233,309,155,568,1337,1131,NA
"14","KWALE","SAMBURU-KWALE","SubCounty",25272,22770,1234,72,152,1847,6161,1985,NA,7652,2676,NA,1038,182,3263,508,1339,1067,602,NA
"15","KILIFI","KILIFI","County",161188,143913,2911,2847,NA,10319,58225,9899,NA,30359,26712,NA,8854,NA,2570,1522,4649,6982,6383,NA
"16","KILIFI","CHONYI","SubCounty",10025,9703,35,131,NA,2196,6204,461,NA,3756,3146,NA,276,NA,413,41,39,199,233,NA
"17","KILIFI","GANZE","SubCounty",20578,18418,1273,81,NA,899,7781,905,NA,5055,2651,NA,952,NA,161,487,1638,951,379,NA
"18","KILIFI","KALOLENI","SubCounty",22504,20458,199,1343,NA,2051,8810,2078,NA,2812,4047,NA,1237,NA,162,109,685,1448,798,NA
"19","KILIFI","KAUMA","SubCounty",2867,2621,41,8,NA,177,748,141,NA,387,406,NA,157,NA,17,7,66,135,108,NA
"20","KILIFI","KILIFI NORTH","SubCounty",18690,16616,160,79,NA,593,6199,689,NA,3212,2029,NA,1029,NA,430,138,296,643,628,NA
"21","KILIFI","KILIFI SOUTH","SubCounty",15114,12930,126,469,NA,1041,5838,688,NA,3373,3440,NA,870,NA,376,89,282,544,733,NA
"22","KILIFI","MAGARINI","SubCounty",25989,24193,614,245,NA,1326,5027,722,NA,5405,1730,NA,1240,NA,304,289,593,1072,771,NA
"23","KILIFI","MALINDI","SubCounty",31072,26224,388,184,NA,1031,10146,1598,NA,5038,4684,NA,2502,NA,605,318,916,1429,1635,NA
"24","KILIFI","RABAI","SubCounty",14349,12750,75,307,NA,1005,7472,2617,NA,1321,4579,NA,591,NA,102,44,134,561,1098,NA
"25","TANA RIVER","TANA RIVER","County",35094,13141,472,1255,NA,2373,1989,991,NA,5627,4647,NA,2521,723,585,NA,2406,1815,1690,384
"26","TANA RIVER","TANA DELTA","SubCounty",15128,6997,344,766,NA,1612,1463,518,NA,3320,1882,NA,1196,235,428,NA,1541,682,1008,192
"27","TANA RIVER","TANA NORTH","SubCounty",9397,2162,92,202,NA,227,103,119,NA,525,690,NA,382,229,44,NA,468,268,184,161
"28","TANA RIVER","TANA RIVER","SubCounty",10569,3982,36,287,NA,534,423,354,NA,1782,2075,NA,943,259,113,NA,397,865,498,31
"29","LAMU","LAMU","County",18678,13698,818,NA,NA,546,4611,996,NA,5854,4479,NA,1497,176,2651,585,1637,1184,2201,1574
"30","LAMU","LAMU EAST","SubCounty",1831,1096,68,NA,NA,173,480,37,NA,248,156,NA,242,17,84,38,365,95,12,10
"31","LAMU","LAMU WEST","SubCounty",16847,12602,750,NA,NA,373,4131,959,NA,5606,4323,NA,1255,159,2567,547,1272,1089,2189,1564
"32","TAITA/TAVETA","TAITA/TAVETA","County",56920,44378,3651,488,4906,31229,17159,9080,NA,14573,17629,2838,6428,2340,2033,1935,2155,11557,7687,NA
"33","TAITA/TAVETA","MWATATE","SubCounty",16123,13494,608,60,938,11112,5335,2624,NA,3501,4363,657,1191,444,327,330,320,2903,1458,NA
"34","TAITA/TAVETA","TAITA","SubCounty",12139,10748,612,54,3333,9332,5686,3883,NA,1226,6047,1325,1201,758,186,395,351,4358,3809,NA
"35","TAITA/TAVETA","TAVETA","SubCounty",14591,9733,1187,339,290,7659,2476,1270,NA,3170,5472,488,3058,526,262,370,437,2661,1635,NA
"36","TAITA/TAVETA","VOI","SubCounty",14067,10403,1244,35,345,3126,3662,1303,NA,6676,1747,368,978,612,1258,840,1047,1635,785,NA
"37","GARISSA","GARISSA","County",47645,2590,748,NA,696,1326,NA,NA,NA,NA,1902,NA,1808,1132,NA,NA,1727,804,NA,NA
"38","GARISSA","BALAMBALA","SubCounty",1786,250,82,NA,96,113,NA,NA,NA,NA,171,NA,193,180,NA,NA,198,88,NA,NA
"39","GARISSA","DADAAB","SubCounty",9315,260,120,NA,46,161,NA,NA,NA,NA,70,NA,98,88,NA,NA,119,38,NA,NA
"40","GARISSA","FAFI","SubCounty",6556,651,123,NA,134,315,NA,NA,NA,NA,630,NA,598,380,NA,NA,519,226,NA,NA
"41","GARISSA","GARISSA","SubCounty",3335,451,31,NA,91,202,NA,NA,NA,NA,655,NA,560,229,NA,NA,526,188,NA,NA
"42","GARISSA","HULUGHO","SubCounty",13731,724,280,NA,166,338,NA,NA,NA,NA,197,NA,177,129,NA,NA,205,120,NA,NA
"43","GARISSA","IJARA","SubCounty",8136,244,108,NA,159,192,NA,NA,NA,NA,175,NA,179,124,NA,NA,157,143,NA,NA
"44","GARISSA","LAGDERA","SubCounty",4786,10,4,NA,4,5,NA,NA,NA,NA,4,NA,3,2,NA,NA,3,1,NA,NA
"45","WAJIR","WAJIR","County",63433,1663,660,NA,NA,799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717,NA,NA,NA
"46","WAJIR","BUNA","SubCounty",3425,42,46,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA
"47","WAJIR","ELDAS","SubCounty",6975,395,185,NA,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA
"48","WAJIR","HABASWEIN","SubCounty",19731,345,122,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,NA,NA,NA
"49","WAJIR","TARBAJ","SubCounty",4598,41,8,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
"50","WAJIR","WAJIR EAST","SubCounty",3113,88,39,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA
"51","WAJIR","WAJIR NORTH","SubCounty",5288,419,168,NA,NA,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA
"52","WAJIR","WAJIR SOUTH","SubCounty",11735,174,48,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA
"53","WAJIR","WAJIR WEST","SubCounty",8568,159,44,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,NA,NA,NA
"54","MANDERA","MANDERA","County",62639,13594,5735,NA,1129,7331,NA,NA,NA,NA,2250,1257,3566,2312,NA,1804,3601,1484,753,NA
"55","MANDERA","MANDERA WEST","SubCounty",8737,2082,1257,NA,109,846,NA,NA,NA,NA,87,132,211,202,NA,506,302,268,50,NA
"56","MANDERA","BANISA","SubCounty",14983,5040,2480,NA,561,2653,NA,NA,NA,NA,788,641,1082,671,NA,740,1103,562,285,NA
"57","MANDERA","KOTULO","SubCounty",6881,179,114,NA,43,92,NA,NA,NA,NA,42,39,67,52,NA,24,35,25,19,NA
"58","MANDERA","LAFEY","SubCounty",7352,304,189,NA,31,117,NA,NA,NA,NA,39,23,63,41,NA,31,54,34,18,NA
"59","MANDERA","MANDERA CENTRAL","SubCounty",8042,310,211,NA,111,187,NA,NA,NA,NA,104,105,137,112,NA,100,186,102,101,NA
"60","MANDERA","MANDERA EAST","SubCounty",7078,2466,572,NA,156,1623,NA,NA,NA,NA,706,176,1145,681,NA,200,1101,272,172,NA
"61","MANDERA","MANDERA NORTH","SubCounty",9566,3213,912,NA,118,1813,NA,NA,NA,NA,484,141,861,553,NA,203,820,221,108,NA
"62","MARSABIT","MARSABIT","County",39167,1933,NA,NA,NA,1619,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,405,NA,NA
"63","MARSABIT","LOIYANGALANI","SubCounty",4891,54,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA
"64","MARSABIT","MARSABIT CENTRAL","SubCounty",4727,1447,NA,NA,NA,1219,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,256,NA,NA
"65","MARSABIT","MARSABIT NORTH","SubCounty",6193,98,NA,NA,NA,90,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
"66","MARSABIT","MARSABIT SOUTH","SubCounty",8620,13,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA
"67","MARSABIT","MOYALE","SubCounty",3823,151,NA,NA,NA,123,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA
"68","MARSABIT","NORTH HORR","SubCounty",7259,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"69","MARSABIT","SOLOLO","SubCounty",3654,167,NA,NA,NA,124,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA
"70","ISIOLO","ISIOLO","County",24271,1983,NA,NA,NA,1297,NA,351,NA,290,307,NA,1111,1019,NA,NA,364,1086,NA,NA
"71","ISIOLO","GARBATULLA","SubCounty",9264,655,NA,NA,NA,206,NA,99,NA,138,119,NA,491,442,NA,NA,223,390,NA,NA
"72","ISIOLO","ISIOLO","SubCounty",8600,1119,NA,NA,NA,1059,NA,239,NA,143,176,NA,520,494,NA,NA,87,619,NA,NA
"73","ISIOLO","MERTI","SubCounty",6407,209,NA,NA,NA,32,NA,13,NA,9,12,NA,100,83,NA,NA,54,77,NA,NA
"74","MERU","MERU","County",274865,217403,34277,NA,68292,181410,40774,34320,6290,23981,118020,22818,13710,19650,6202,15218,2499,53941,27532,2428
"75","MERU","BUURI EAST","SubCounty",18061,14811,555,NA,12913,14256,1129,1731,2267,607,2189,2572,1268,1667,89,147,240,3439,677,331
"76","MERU","BUURI WEST","SubCounty",14939,11358,191,NA,11231,8916,535,1155,2009,554,1656,2568,918,3423,99,118,119,4760,1440,80
"77","MERU","IGEMBE CENTRAL","SubCounty",31946,25925,1189,NA,5413,22202,2623,1851,184,1982,7755,220,667,426,137,887,253,2101,1710,105
"78","MERU","IGEMBE NORTH","SubCounty",22743,18822,1432,NA,7915,16600,2270,1589,260,580,7450,262,364,208,75,1397,115,1647,1138,79
"79","MERU","IGEMBE SOUTH","SubCounty",21483,14780,1456,NA,1300,11435,2143,1451,207,2368,9459,349,577,812,192,1747,168,3804,2634,131
"80","MERU","IMENTI NORTH","SubCounty",27839,21729,3310,NA,4663,19255,5509,4719,354,2031,15073,1787,2345,2023,1093,1124,321,6282,2981,101
"81","MERU","IMENTI SOUTH","SubCounty",46386,36114,6812,NA,10358,27093,9476,9879,287,4711,31511,8020,3795,6672,389,2378,452,16319,8708,225
"82","MERU","MERU CENTRAL","SubCounty",31894,26113,9618,NA,7965,20800,6304,5575,264,6544,17375,6421,1455,2474,1452,3562,259,9345,4317,159
"83","MERU","TIGANIA CENTRAL","SubCounty",18982,13696,4044,NA,482,10065,2630,1752,166,2040,10529,231,613,687,1438,2783,174,2592,1976,80
"84","MERU","TIGANIA EAST","SubCounty",12186,9790,1004,NA,4543,9004,1723,1027,43,352,3542,136,511,408,30,87,94,1125,636,44
"85","MERU","TIGANIA WEST","SubCounty",28224,24124,4655,NA,1354,21669,6402,3559,244,2206,11439,234,1186,828,1199,977,302,2482,1298,1089
"86","MERU","MERU NATIONAL PARK","SubCounty",3,3,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"87","MERU","MT. KENYA FOREST","SubCounty",179,138,11,NA,155,113,30,32,5,6,42,17,11,22,9,11,2,45,17,4
"88","THARAKA-NITHI","THARAKA-NITHI","County",85767,53730,31848,NA,6312,41827,18303,10425,NA,29144,31892,2102,3745,5674,1012,27262,1158,13507,10232,616
"89","THARAKA-NITHI","IGAMBANG'OMBE","SubCounty",12254,8147,5572,NA,182,5537,1611,630,NA,5612,1673,96,345,140,57,5004,141,888,462,134
"90","THARAKA-NITHI","MAARA","SubCounty",27526,22411,6627,NA,1950,19555,9279,5728,NA,2422,17938,1391,2320,4274,267,1616,321,8614,5469,114
"91","THARAKA-NITHI","MERU SOUTH","SubCounty",19251,15832,1883,NA,4090,14528,6907,3628,NA,255,11559,518,805,1089,125,300,117,3219,4003,52
"92","THARAKA-NITHI","THARAKA NORTH","SubCounty",11402,2660,8316,NA,44,959,170,113,NA,9190,261,40,111,65,360,9350,349,283,150,139
"93","THARAKA-NITHI","THARAKA SOUTH","SubCounty",15330,4678,9450,NA,45,1246,335,325,NA,11665,460,57,163,105,203,10992,230,501,148,177
"94","THARAKA-NITHI","MT. KENYA FOREST","SubCounty",4,2,NA,NA,1,2,1,1,NA,NA,1,NA,1,1,NA,NA,NA,2,NA,NA
"95","EMBU","EMBU","County",130990,109171,22883,NA,31032,89278,27641,20905,NA,30437,55970,8247,8734,8517,1215,12819,1884,27825,17631,NA
"96","EMBU","EMBU EAST","SubCounty",31674,26782,740,NA,13434,23223,9993,6218,NA,209,21651,2601,2578,3137,202,282,277,9108,7359,NA
"97","EMBU","EMBU NORTH","SubCounty",18854,14688,169,NA,6378,11822,4179,5096,NA,139,13757,4260,2289,3214,107,80,127,9773,4749,NA
"98","EMBU","EMBU WEST","SubCounty",21166,16926,443,NA,9283,14872,4414,3725,NA,317,12529,943,1359,1292,242,205,285,4773,3370,NA
"99","EMBU","MBEERE SOUTH","SubCounty",35511,31493,12570,NA,698,24850,5218,3945,NA,20013,3659,274,1664,486,451,4855,724,2431,1064,NA
"100","EMBU","MBEERE NORTH","SubCounty",23785,19282,8961,NA,1239,14511,3837,1921,NA,9759,4374,169,844,388,213,7397,471,1740,1089,NA
"101","EMBU","MT. KENYA FOREST","SubCounty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","KITUI","KITUI","County",215322,178635,98030,NA,NA,105815,35623,15210,NA,133390,16923,1330,8600,5648,NA,60988,17724,19725,3959,2711
"103","KITUI","IKUTHA","SubCounty",14236,11519,7331,NA,NA,2705,1269,674,NA,10007,354,82,451,274,NA,4464,1767,1265,135,99
"104","KITUI","KATULANI","SubCounty",10717,10218,1976,NA,NA,8454,2224,1336,NA,5744,845,55,514,299,NA,252,271,937,144,29
"105","KITUI","KISASI","SubCounty",9797,9452,4226,NA,NA,5605,2311,1294,NA,6861,634,78,547,360,NA,556,448,902,120,74
"106","KITUI","KITUI CENTRAL","SubCounty",17146,15951,3334,NA,NA,13599,5857,2060,NA,4553,3958,171,963,610,NA,730,412,2191,1063,105
"107","KITUI","KITUI WEST","SubCounty",15208,14528,4148,NA,NA,13917,3739,1410,NA,7066,2355,89,434,379,NA,430,242,1062,315,35
"108","KITUI","KYUSO","SubCounty",14021,8649,10300,NA,NA,2600,1076,224,NA,10710,319,60,403,293,NA,8956,2412,836,167,650
