"","County","SubCounty","AdminArea","Farming","Maize","Sorghum","Rice","Potatoes","Beans","Cassava","SweetPotatoes","Wheat","GreenGrams","Bananas","Cabbages","Tomatoes","Onions","GroundNuts","Millet","Watermelons","Kales","Sugarcane","Cotton"
"165","KIRINYAGA","MWEA EAST","SubCounty",25729,17855,2136,7991,5477,14361,2989,3226,NA,1530,7892,957,3014,670,NA,498,807,4659,2096,NA
"166","KIRINYAGA","MWEA WEST","SubCounty",22809,13695,3485,9835,322,10999,1811,2705,NA,2013,5037,430,4177,360,NA,1242,299,3296,1064,NA
"167","KIRINYAGA","MT. KENYA FOREST","SubCounty",8,3,NA,NA,NA,3,NA,1,NA,NA,1,2,2,NA,NA,NA,NA,2,NA,NA
"168","MURANG'A","MURANG'A","County",231400,202745,6021,NA,91878,177211,49778,60504,NA,3208,144925,35857,13611,26806,NA,NA,NA,86317,21753,NA
"169","MURANG'A","MURANG'A EAST","SubCounty",21474,19674,1209,NA,4080,18506,6365,5912,NA,288,12802,508,840,1172,NA,NA,NA,3511,2443,NA
"170","MURANG'A","KANGEMA","SubCounty",20585,18294,162,NA,8612,14126,3079,6542,NA,439,13971,7310,989,5146,NA,NA,NA,12736,2770,NA
"171","MURANG'A","MATHIOYA","SubCounty",23395,20339,144,NA,10072,16968,3485,6725,NA,400,15506,4847,1293,3811,NA,NA,NA,11983,1862,NA
"172","MURANG'A","KAHURO","SubCounty",23127,20102,186,NA,6643,17593,5203,7455,NA,123,17333,3864,1336,2921,NA,NA,NA,10963,2047,NA
"173","MURANG'A","MURANG'A SOUTH","SubCounty",37654,34203,2011,NA,12936,31932,12222,9470,NA,681,20062,941,2800,1545,NA,NA,NA,7831,3037,NA
"174","MURANG'A","GATANGA","SubCounty",35429,29265,1388,NA,15923,26024,5932,6959,NA,734,20722,6333,2421,4153,NA,NA,NA,12711,2902,NA
"175","MURANG'A","KIGUMO","SubCounty",31110,26237,345,NA,10591,20959,4411,5784,NA,364,16971,7138,1355,4143,NA,NA,NA,12360,1483,NA
"176","MURANG'A","KANDARA","SubCounty",38624,34630,576,NA,23019,31103,9081,11657,NA,179,27558,4914,2577,3914,NA,NA,NA,14221,5209,NA
"177","MURANG'A","ABERDARE FOREST","SubCounty",2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA
"178","KIAMBU","KIAMBU","County",214052,144125,NA,NA,108457,120887,9816,18416,NA,NA,74810,41121,17996,28684,NA,NA,NA,103524,19981,NA
"179","KIAMBU","GATUNDU NORTH","SubCounty",21532,14604,NA,NA,9382,11788,1170,3276,NA,NA,12602,3163,1568,2023,NA,NA,NA,7309,2228,NA
"180","KIAMBU","GATUNDU SOUTH","SubCounty",25074,20819,NA,NA,17143,18372,2420,4625,NA,NA,17800,4400,1837,3373,NA,NA,NA,11440,4949,NA
"181","KIAMBU","GITHUNGURI","SubCounty",29745,23166,NA,NA,16428,18081,1484,2396,NA,NA,16563,7734,3565,4711,NA,NA,NA,16009,3922,NA
"182","KIAMBU","JUJA","SubCounty",15859,7436,NA,NA,2362,6226,1062,1416,NA,NA,2618,1021,1514,1316,NA,NA,NA,3870,1046,NA
"183","KIAMBU","KABETE","SubCounty",15713,8812,NA,NA,5859,7216,231,501,NA,NA,2999,1917,811,1657,NA,NA,NA,8232,808,NA
"184","KIAMBU","KIAMBAA","SubCounty",13339,8788,NA,NA,5605,7620,461,973,NA,NA,4482,1404,1091,1331,NA,NA,NA,6127,1208,NA
"185","KIAMBU","KIAMBU","SubCounty",10505,6657,NA,NA,3172,5238,570,737,NA,NA,4229,835,909,955,NA,NA,NA,3833,1477,NA
"186","KIAMBU","KIKUYU","SubCounty",17693,13449,NA,NA,12438,12733,338,782,NA,NA,3174,2178,1259,2421,NA,NA,NA,8210,1054,NA
"187","KIAMBU","LARI","SubCounty",25602,16282,NA,NA,19240,12158,305,1089,NA,NA,4896,12078,1578,4917,NA,NA,NA,20622,780,NA
"188","KIAMBU","LIMURU","SubCounty",19202,14312,NA,NA,14217,13413,179,540,NA,NA,1617,4908,1344,3755,NA,NA,NA,11999,567,NA
"189","KIAMBU","RUIRU","SubCounty",8590,3554,NA,NA,970,2756,478,689,NA,NA,1423,681,939,885,NA,NA,NA,2367,807,NA
"190","KIAMBU","THIKA EAST","SubCounty",4700,3304,NA,NA,752,3024,620,634,NA,NA,1111,305,651,563,NA,NA,NA,1472,458,NA
"191","KIAMBU","THIKA WEST","SubCounty",6498,2942,NA,NA,889,2262,498,758,NA,NA,1296,497,930,777,NA,NA,NA,2034,677,NA
"192","TURKANA","TURKANA","County",61209,9751,10225,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,NA,NA,2917,1827,NA,NA
"193","TURKANA","KIBISH","SubCounty",3955,85,24,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,61,46,NA,NA
"194","TURKANA","LOIMA","SubCounty",9743,1732,2167,NA,NA,NA,NA,NA,NA,414,NA,NA,NA,NA,NA,NA,323,201,NA,NA
"195","TURKANA","TURKANA CENTRAL","SubCounty",11229,1392,2122,NA,NA,NA,NA,NA,NA,404,NA,NA,NA,NA,NA,NA,834,198,NA,NA
"196","TURKANA","TURKANA EAST","SubCounty",9618,2695,1922,NA,NA,NA,NA,NA,NA,331,NA,NA,NA,NA,NA,NA,460,272,NA,NA
